Position X	Position Y	Position Z
-596.5470	-2040.4270	3765.5339
-602.4780	-2037.8831	3765.5520
-586.3480	-2054.7019	3765.3140
-598.3340	-2028.8630	3765.1331
-603.7310	-2023.6281	3765.1631
-607.1750	-2020.9700	3765.1140
-605.0040	-2020.7240	3765.1160
-607.4010	-2019.3420	3765.1670
-599.6240	-2018.0900	3765.0100
-608.2330	-2016.4550	3765.0720
-602.3910	-2016.0830	3765.0229
-603.1200	-2013.9880	3765.0200
-604.5150	-2012.6160	3765.0420
-605.1290	-2008.6689	3765.0100
-602.8210	-2008.1250	3764.9541
-603.3900	-2007.4590	3764.9851
-604.9580	-2029.4320	3765.2610
-599.6640	-2026.5780	3765.3760
-604.8560	-2022.4540	3765.2229
-606.7710	-2020.0830	3765.3560
-603.3930	-2019.5110	3765.2891
-600.4080	-2017.7780	3765.2029
-601.5500	-2026.9050	3765.4851
-607.0460	-2094.1299	3766.0391
-606.4770	-2092.5300	3766.1101
-603.0050	-2082.3469	3765.9700
-602.0370	-2079.7251	3765.8779
-601.0310	-2078.4060	3765.9910
-598.0110	-2076.0220	3765.9641
-603.0230	-2075.5549	3766.0581
-600.8530	-2074.5100	3765.9790
-599.8520	-2072.7971	3765.8940
-596.6220	-2072.5959	3765.9089
-597.0710	-2072.2151	3765.9341
-602.3640	-2071.6289	3765.8821
-597.7390	-2071.6069	3765.8889
-602.9480	-2071.3250	3765.8210
-597.1950	-2070.8259	3765.8379
-602.7210	-2070.1289	3766.0371
-607.8060	-2069.8960	3766.0610
-593.0960	-2068.9590	3765.7949
-606.5890	-2068.8550	3765.9009
-598.1570	-2068.6819	3766.0569
-606.8870	-2068.0371	3766.0400
-597.7250	-2068.1279	3765.9519
-599.6510	-2067.9399	3766.0090
-589.0650	-2066.2991	3765.9661
-605.5020	-2066.0920	3765.7891
-594.5830	-2065.0559	3766.0640
-589.2930	-2063.9241	3765.9829
-604.3420	-2063.4441	3766.0359
-596.6120	-2063.2700	3766.0181
-588.9490	-2062.8120	3765.9131
-607.7480	-2061.7661	3765.8579
-596.8080	-2061.3010	3765.9919
-593.1210	-2061.2300	3765.7949
-593.2560	-2060.6589	3765.8049
-592.0290	-2059.8311	3765.8950
-612.6650	-2059.7539	3765.8459
-597.1090	-2059.7080	3765.9709
-596.4390	-2059.7371	3766.0510
-611.0180	-2059.2371	3766.0569
-590.9020	-2058.2219	3765.8860
-589.3790	-2058.1311	3765.9380
-595.7460	-2058.0239	3766.0640
-601.3850	-2076.2639	3766.2300
-602.1020	-2074.9399	3766.1941
-597.6120	-2074.6819	3766.3020
-601.8860	-2073.9180	3766.2051
-596.1230	-2072.4089	3766.2380
-598.8710	-2071.7939	3766.1499
-597.0460	-2071.8799	3766.2920
-599.9230	-2071.3560	3766.1831
-605.4570	-2071.2971	3766.0859
-596.1970	-2071.0530	3766.3240
-600.3330	-2070.2151	3766.1460
-603.8830	-2069.8550	3766.0891
-605.1230	-2069.5520	3766.3530
-590.1010	-2069.6060	3766.1440
-592.9290	-2068.3979	3766.2419
-590.1190	-2067.5220	3766.2510
-609.7330	-2066.6360	3766.2200
-589.8670	-2066.3989	3766.2400
-589.5340	-2065.4121	3766.1631
-610.9050	-2063.7070	3766.2190
-589.4850	-2062.4819	3766.1499
-589.3280	-2061.8459	3766.2871
-591.3680	-2060.4189	3766.3621
-591.3850	-2059.6201	3766.3679
-591.8530	-2059.3401	3766.1741
-599.5690	-2059.0959	3766.2810
-598.2590	-2058.9319	3766.0791
-611.0010	-2058.6919	3766.1411
-605.6320	-2058.6680	3766.0820
-592.1470	-2058.2080	3766.2219
-601.1190	-2072.2219	3766.5110
-598.0860	-2072.1001	3766.4839
-600.8710	-2071.7690	3766.6489
-593.0290	-2071.4319	3766.4290
-595.5830	-2070.9700	3766.5171
-602.2460	-2070.6880	3766.4121
-596.1970	-2070.4680	3766.5420
-592.1900	-2070.0349	3766.4939
-593.5930	-2069.6609	3766.5381
-593.9530	-2067.8430	3766.5171
-595.3330	-2067.6721	3766.4380
-591.1330	-2065.8779	3766.4619
-592.0130	-2064.6470	3766.4900
-590.5520	-2064.5339	3766.4680
-591.4960	-2063.6899	3766.3750
-590.0520	-2063.1631	3766.4951
-591.8400	-2062.4390	3766.4861
-603.0490	-2062.3040	3766.4951
-603.7720	-2062.0139	3766.4080
-599.2680	-2062.0020	3766.4800
-591.1680	-2061.9451	3766.4441
-592.0790	-2060.8940	3766.6011
-593.2880	-2059.0850	3766.5071
-595.7040	-2070.5061	3766.7920
-592.0230	-2067.6560	3766.7361
-594.2660	-2067.4951	3766.8950
-593.9610	-2066.9460	3766.7200
-593.1240	-2066.8430	3766.8630
-592.4830	-2066.0349	3766.7290
-593.0440	-2063.9250	3766.9170
-592.0800	-2063.4021	3766.8201
-592.7980	-2063.2380	3766.9651
-601.0540	-2061.3049	3766.8530
-600.3790	-2061.2451	3766.7881
-587.5300	-2073.2200	3765.8279
-587.9070	-2064.5549	3765.8940
