Position X	Position Y	Position Z
-603.9750	-2070.9990	3765.5400
-607.5590	-2070.8989	3765.6760
-596.9500	-2070.7820	3765.5801
-591.7170	-2070.5339	3765.6709
-596.1800	-2070.0879	3765.6201
-606.9230	-2069.9231	3765.6440
-592.8540	-2069.5381	3765.6411
-595.4880	-2069.3101	3765.6211
-608.7140	-2068.7981	3765.5229
-588.4150	-2068.4451	3765.6860
-594.8890	-2068.1660	3765.5669
-592.6830	-2068.1321	3765.5891
-592.3040	-2067.4141	3765.7151
-590.2880	-2067.3640	3765.6609
-592.9820	-2067.1130	3765.5630
-593.5620	-2066.7600	3765.7241
-613.3880	-2066.7119	3765.7629
-592.7000	-2066.5950	3765.5620
-609.1730	-2066.3369	3765.5281
-589.1560	-2066.1641	3765.5991
-593.7160	-2066.0259	3765.4761
-609.6130	-2065.7959	3765.6101
-593.1490	-2065.7080	3765.6780
-588.9290	-2065.2310	3765.6851
-593.4610	-2064.8921	3765.7471
-593.0470	-2064.8391	3765.6011
-592.2060	-2064.8770	3765.5911
-591.0860	-2064.7620	3765.6289
-592.3340	-2064.3201	3765.6580
-593.3230	-2063.2329	3765.6860
-589.4570	-2062.8560	3765.4971
-592.2260	-2062.7190	3765.6340
-590.2960	-2062.7090	3765.5779
-615.1400	-2062.5830	3765.5190
-588.6450	-2062.0959	3765.5869
-613.9560	-2060.9570	3765.5669
-593.1980	-2060.8721	3765.6951
-590.7320	-2059.7000	3765.4880
-592.9750	-2059.5979	3765.6990
-613.4220	-2059.3501	3765.5581
-611.8930	-2058.1621	3765.5549
-592.9340	-2057.8889	3765.5891
-591.5910	-2057.9331	3765.6489
-584.8000	-2081.0210	3765.4651
-583.0990	-2076.3831	3765.4250
-582.4730	-2076.1580	3765.3491
-583.9060	-2073.5330	3765.4680
-582.7940	-2073.3730	3765.3391
-582.2830	-2072.7300	3765.4150
-584.6510	-2071.5061	3765.3811
-581.9640	-2071.2141	3765.4080
-581.0510	-2070.2681	3765.3030
-582.8080	-2070.0801	3765.3269
-583.1630	-2069.4470	3765.3479
-580.8900	-2069.4590	3765.3059
-580.2210	-2068.4399	3765.3020
-580.4900	-2067.7959	3765.3491
-586.1920	-2067.0291	3765.4260
-580.6600	-2066.9910	3765.3059
-581.0080	-2065.3530	3765.3030
-585.1810	-2065.1431	3765.3220
-579.7270	-2064.1970	3765.3220
-578.7020	-2064.0950	3765.3140
-574.6140	-2064.1169	3765.3169
-577.6830	-2063.9839	3765.3130
-577.2810	-2063.6809	3765.3159
-582.8960	-2063.5830	3765.3091
-576.6870	-2063.5110	3765.3689
-576.1640	-2063.4910	3765.3860
-581.6700	-2063.3650	3765.2820
-574.6070	-2063.3530	3765.3530
-579.7100	-2063.3201	3765.3291
-579.6710	-2061.9700	3765.3379
-580.8050	-2061.7930	3765.3030
-586.5640	-2061.6431	3765.2791
-584.9820	-2061.7061	3765.4460
-577.8290	-2061.6831	3765.3420
-578.7980	-2061.4839	3765.3369
-582.3260	-2061.2849	3765.2971
-572.6710	-2060.9380	3765.3040
-580.4970	-2060.8279	3765.3191
-571.5450	-2060.7029	3765.3091
-582.8510	-2060.6370	3765.3530
-575.8610	-2060.5339	3765.3511
-579.7550	-2060.2839	3765.3059
-573.2570	-2060.1631	3765.3220
-581.5980	-2059.9319	3765.3220
-585.7520	-2059.8379	3765.3440
-582.7300	-2059.6050	3765.3010
-579.3210	-2059.6201	3765.2729
-576.4420	-2059.5439	3765.3411
-580.7770	-2059.3459	3765.3030
-578.8810	-2058.5210	3765.2549
-584.9960	-2058.3569	3765.3291
-582.3880	-2058.3579	3765.2771
-583.8990	-2057.9961	3765.3250
-581.4010	-2057.9619	3765.2881
-583.1030	-2084.4360	3765.5911
-583.6750	-2083.2480	3765.4951
-584.5310	-2082.6499	3765.5701
-583.1710	-2082.2090	3765.7439
-584.4050	-2081.4790	3765.6370
-583.4980	-2078.1121	3765.5840
-583.7840	-2077.0129	3765.5549
-586.6430	-2076.7729	3765.6819
-583.5590	-2075.8750	3765.4829
-584.2670	-2074.9070	3765.4980
-587.4530	-2074.3611	3765.6399
-586.3220	-2074.1030	3765.6311
-585.2880	-2071.9280	3765.5120
-585.5550	-2071.8269	3765.6541
-587.3430	-2070.9031	3765.6680
-586.9530	-2067.9900	3765.6731
-587.4350	-2064.3250	3765.7429
-588.0890	-2062.6130	3765.6311
-587.6210	-2060.9839	3765.7380
-587.9660	-2060.1670	3765.6721
-586.2750	-2058.2620	3765.5911
-633.3770	-2057.3640	3765.2839
-632.0900	-2056.8311	3765.2871
-633.5670	-2056.5381	3765.2939
-618.7330	-2056.5129	3765.3669
-617.9080	-2055.7959	3765.4170
-597.2220	-2057.7380	3765.2649
-607.0980	-2057.4021	3765.2571
-600.6710	-2057.3989	3765.2690
-596.2020	-2057.2720	3765.4099
-610.4380	-2057.0991	3765.2471
-596.0630	-2056.6860	3765.2671
-594.4010	-2056.7209	3765.3240
-610.6890	-2056.6069	3765.3420
-591.5940	-2056.5420	3765.3721
-602.9210	-2056.2991	3765.2891
-598.8310	-2056.3230	3765.2571
-606.9990	-2056.0820	3765.2520
-602.2360	-2056.0769	3765.3201
-595.1680	-2056.1069	3765.3240
-608.6600	-2056.0110	3765.2080
-600.2970	-2056.0310	3765.2781
-594.0760	-2055.9319	3765.3511
-598.0890	-2055.7490	3765.2981
-589.9560	-2055.5901	3765.3940
-603.7450	-2055.3101	3765.2529
-612.0700	-2055.2170	3765.4619
-594.1650	-2055.1899	3765.3320
-592.7060	-2055.0071	3765.3660
-601.6120	-2054.7690	3765.2910
-589.9050	-2054.6150	3765.4080
-609.9060	-2054.1260	3765.3811
-595.7970	-2054.0359	3765.3589
-595.3780	-2053.9419	3765.4199
-609.1880	-2053.8579	3765.2649
-594.2060	-2053.5471	3765.4070
-601.6280	-2053.3940	3765.2900
-602.0430	-2053.2280	3765.3240
-597.9230	-2052.6770	3765.2820
-589.5360	-2052.5220	3765.3010
-605.7410	-2052.1699	3765.2849
-595.3090	-2051.8899	3765.2991
-592.6310	-2051.7290	3765.4031
-604.8380	-2051.1880	3765.2400
-598.6300	-2051.0901	3765.2759
-597.5860	-2050.9900	3765.3921
-600.3140	-2050.6011	3765.2390
-602.5280	-2050.2539	3765.2490
-594.3500	-2050.0129	3765.3730
-606.7570	-2049.6360	3765.3201
-592.7200	-2049.6990	3765.4060
-605.5120	-2049.5920	3765.2500
-599.2230	-2049.5540	3765.3850
-595.8200	-2049.0029	3765.3049
-592.8580	-2048.7681	3765.3860
-605.1360	-2048.3049	3765.3831
-603.1540	-2048.2300	3765.2810
-603.4850	-2048.2119	3765.2891
-600.4620	-2047.6200	3765.3960
-596.1490	-2047.4840	3765.2561
-591.5080	-2047.4570	3765.2671
-595.0760	-2047.1550	3765.2881
-600.6890	-2047.0270	3765.3779
-601.8150	-2046.9030	3765.4390
-596.0550	-2046.9110	3765.3359
-591.6420	-2046.5400	3765.3069
-604.0050	-2046.3470	3765.4041
-603.0200	-2046.1790	3765.2891
-598.7060	-2046.0190	3765.3679
-595.1950	-2045.7469	3765.3030
-602.1190	-2045.4470	3765.2800
-593.6990	-2045.3950	3765.3379
-597.4670	-2045.2650	3765.3210
-595.4850	-2045.0680	3765.4399
-594.4570	-2044.7800	3765.2520
-593.1440	-2044.6180	3765.2710
-592.7780	-2043.6930	3765.2771
-597.2450	-2043.1370	3765.4370
-593.4130	-2043.1060	3765.3799
-596.2850	-2043.0680	3765.2300
-598.9050	-2042.0420	3765.3101
-598.1340	-2042.0450	3765.3440
-596.2150	-2041.7650	3765.4199
-596.7020	-2040.8230	3765.2949
-599.7630	-2040.4290	3765.3689
-601.7880	-2040.3610	3765.3450
-595.9830	-2039.9210	3765.2739
-595.7780	-2039.3130	3765.3721
-601.1840	-2039.1801	3765.2749
-598.1110	-2038.6840	3765.3411
-598.8680	-2038.2170	3765.2480
-599.0790	-2037.9189	3765.3560
-595.9980	-2037.4890	3765.4080
-600.2100	-2037.2500	3765.3630
-596.7390	-2037.0200	3765.3250
-600.6080	-2036.6810	3765.3301
-603.1550	-2036.5320	3765.4590
-597.3640	-2036.3110	3765.3931
-596.5000	-2035.2810	3765.3250
-602.0940	-2035.0959	3765.3101
-603.1580	-2034.9370	3765.3650
-601.0150	-2033.9659	3765.2739
-605.2460	-2033.7200	3765.3140
-603.6420	-2033.6281	3765.2791
-599.3210	-2032.1820	3765.3191
-605.3800	-2032.0811	3765.4131
-601.8830	-2031.8770	3765.2141
-605.0130	-2031.4550	3765.2019
-603.1900	-2031.3040	3765.3101
-598.1100	-2031.2150	3765.3000
-592.9840	-2057.5310	3765.7200
-612.6940	-2057.2361	3765.6250
-593.3790	-2056.5540	3765.5481
-594.9300	-2055.5591	3765.6299
-589.3650	-2055.3989	3765.6870
-614.4520	-2054.7981	3765.5601
-593.5070	-2054.7639	3765.6169
-592.9130	-2054.5139	3765.5850
-611.0640	-2054.3921	3765.6140
-611.1510	-2053.6841	3765.6279
-609.9520	-2053.4810	3765.6731
-611.6740	-2053.1809	3765.5691
-593.8810	-2053.2219	3765.6819
-591.5170	-2052.5811	3765.6890
-609.7750	-2051.7549	3765.6670
-611.3660	-2050.8630	3765.6299
-595.7750	-2050.8159	3765.6890
-592.0430	-2050.8411	3765.6089
-596.6690	-2050.1831	3765.6831
-595.3300	-2050.0691	3765.5520
-596.1970	-2049.6709	3765.5991
-593.6430	-2049.6260	3765.6331
-594.8070	-2049.2439	3765.5500
-597.3720	-2048.9839	3765.7290
-598.8750	-2047.8390	3765.6179
-592.6880	-2047.0341	3765.6460
-599.5740	-2046.7321	3765.5491
-595.9090	-2046.5160	3765.5510
-603.1750	-2045.7070	3765.6521
-603.3180	-2045.0330	3765.5620
-605.4030	-2044.9810	3765.6021
-601.8220	-2044.9230	3765.6370
-595.5460	-2044.3199	3765.5249
-596.5560	-2043.9611	3765.7510
-605.6580	-2043.2321	3765.5630
-599.7540	-2043.0330	3765.6650
-595.7870	-2042.4790	3765.5129
-601.6670	-2042.2670	3765.5811
-594.2350	-2041.2180	3765.4810
-598.7380	-2041.0920	3765.4741
-606.3890	-2040.9260	3765.6169
-602.6870	-2040.5280	3765.4951
-604.7960	-2040.3669	3765.7390
-594.9840	-2040.2140	3765.4839
-601.4090	-2040.1050	3765.6201
-604.7990	-2038.9020	3765.5281
-602.4280	-2037.7490	3765.6621
-597.3940	-2037.2440	3765.6531
-601.3550	-2037.1810	3765.7109
-598.5190	-2037.0920	3765.5959
-597.9390	-2036.5150	3765.5891
-598.6260	-2035.7080	3765.5791
-599.0650	-2034.9930	3765.6030
-604.3600	-2033.8970	3765.5020
-598.4930	-2033.9530	3765.5801
-601.3260	-2033.6250	3765.5659
-599.1380	-2033.1429	3765.5500
-598.8790	-2031.1260	3765.5459
-600.7480	-2031.0470	3765.5750
-599.6300	-2030.8101	3765.6389
-584.6710	-2057.4771	3765.4309
-583.3160	-2057.0139	3765.2891
-582.1910	-2056.7859	3765.2219
-582.7710	-2056.3010	3765.2920
-582.4390	-2055.0659	3765.3120
-584.8830	-2054.6770	3765.3259
-583.1900	-2054.6130	3765.2959
-584.1390	-2054.2419	3765.2759
-586.4820	-2054.1660	3765.3049
-582.0160	-2053.3850	3765.2671
-585.5430	-2053.3479	3765.2949
-585.8920	-2052.7771	3765.2209
-583.5790	-2052.3430	3765.3369
-584.1830	-2052.2109	3765.2280
-586.6100	-2051.8169	3765.2161
-583.5500	-2051.7471	3765.2839
-588.0160	-2057.1819	3765.4890
-584.6850	-2056.7959	3765.4771
-587.3360	-2054.6011	3765.5061
-588.2090	-2053.5200	3765.4709
-603.5000	-2024.2950	3765.1150
-597.4920	-2023.8810	3765.1089
-602.5160	-2022.3719	3765.1179
-605.4480	-2022.0940	3765.0991
-602.2110	-2020.6790	3765.1250
-600.7330	-2020.1990	3765.1650
-598.0010	-2018.6000	3765.1499
-608.8240	-2017.7620	3765.1040
-606.8430	-2017.7930	3765.0859
-600.4110	-2017.6700	3765.1450
-603.4590	-2017.5649	3765.1599
-598.5900	-2017.2800	3765.0410
-608.3640	-2017.1140	3765.1279
-597.7940	-2016.9750	3765.0779
-606.8290	-2016.5959	3765.0750
-597.6590	-2016.3550	3765.1179
-597.8860	-2015.2910	3765.0869
-599.6550	-2014.8840	3765.1001
-601.7170	-2014.6760	3765.1321
-597.5010	-2014.6820	3765.0901
-608.2980	-2014.2660	3765.0750
-609.6040	-2014.2220	3765.0969
-600.6850	-2014.1230	3765.1040
-599.9610	-2013.7600	3765.0681
-608.3350	-2013.5560	3765.0620
-612.0280	-2013.1500	3765.0640
-603.3610	-2013.1740	3765.1311
-599.5140	-2013.0970	3765.0500
-598.8220	-2013.1420	3765.1389
-600.1200	-2013.0300	3765.0540
-597.9420	-2012.9280	3765.0601
-606.1020	-2012.4780	3765.0510
-610.2330	-2012.2729	3765.0891
-607.0500	-2011.7090	3765.0239
-599.4570	-2011.5260	3765.0710
-598.3060	-2011.3330	3765.1150
-601.5430	-2011.2209	3765.0769
-612.0380	-2011.0620	3765.0649
-601.2730	-2010.9139	3765.0801
-599.2670	-2010.8800	3765.1221
-605.4910	-2010.5551	3765.0481
-603.0420	-2010.5580	3765.0891
-599.8430	-2010.5260	3765.0850
-608.6200	-2009.9470	3765.0879
-599.5090	-2009.9449	3765.1311
-603.6870	-2009.3580	3765.1079
-611.4380	-2009.2330	3765.0339
-607.6370	-2009.2620	3765.0430
-602.6040	-2009.3180	3765.0730
-603.8290	-2008.9260	3765.1641
-606.4070	-2008.6121	3765.0430
-605.6680	-2008.4969	3765.0801
-602.5990	-2008.5570	3765.0310
-604.8050	-2008.4360	3765.0659
-603.6770	-2008.2729	3765.0569
-607.5280	-2007.9709	3765.0349
-605.9420	-2008.0420	3765.1221
-606.3350	-2007.3070	3765.0710
-601.4930	-2029.7419	3765.2959
-597.2590	-2029.7830	3765.3501
-606.0600	-2029.4320	3765.4060
-604.0570	-2029.1460	3765.3020
-597.3310	-2028.7209	3765.2451
-598.2650	-2028.5240	3765.4670
-605.9310	-2028.4550	3765.3850
-606.5350	-2027.3390	3765.2339
-601.4200	-2027.4020	3765.3020
-597.7490	-2027.0610	3765.2109
-599.0420	-2026.9360	3765.2461
-598.1280	-2025.2980	3765.3440
-604.1590	-2024.7190	3765.2219
-600.4480	-2024.6790	3765.2000
-605.3020	-2024.6121	3765.1750
-602.5210	-2023.9969	3765.3779
-601.3800	-2024.0081	3765.2981
-599.4160	-2023.2710	3765.4641
-600.7280	-2022.9530	3765.3560
-601.2360	-2022.6050	3765.1980
-602.0710	-2021.9230	3765.4629
-602.8410	-2021.5811	3765.1899
-603.8860	-2021.0820	3765.4080
-600.8800	-2020.9530	3765.2820
-608.3090	-2019.9940	3765.2971
-602.4580	-2019.6730	3765.2759
-600.7690	-2018.7760	3765.2920
-600.9120	-2016.9410	3765.2480
-610.6180	-2016.5380	3765.3040
-599.7450	-2012.4250	3765.2329
-603.7930	-2010.5010	3765.1941
-601.9930	-2029.0730	3765.5549
